date,actor,receiver,group,GGR,n.swollen,gr.pref,rank.act,rank.rec,age.act,age.rec,z.gr.pref,z.rank.act,z.rank.rec,z.age.act,z.age.rec,sw.act,sw.rec,dyad
7/2/12,ln,ky,3,3,3,1,3.42,4.66,9,11,0.924425166,-0.991700476,0.204447282,-0.555584695,-0.445141655,1,1,5
9/2/09,h,j,2,3,2,1,3.42,6.2,31,24,0.924425166,-0.991700476,1.956273768,1.401145612,0.597918668,0,1,1
9/2/09,j,h,2,1,2,0.134920635,6.2,3.42,24,31,-1.66127297,2.646327266,-1.206114304,0.778549605,1.159566534,1,0,1
10/2/09,h,j,2,0.5,0,1,3.42,6.2,31,24,0.924425166,-0.991700476,1.956273768,1.401145612,0.597918668,0,0,1
10/2/09,j,h,2,1.5,0,1,6.2,3.42,24,31,0.924425166,2.646327266,-1.206114304,0.778549605,1.159566534,0,0,1
8/3/12,ky,lc,3,2,3,1,4.66,4.11,11,9,0.924425166,0.631016934,-0.421205034,-0.377700121,-0.605612474,1,1,4
8/3/12,lc,ky,3,2,3,0.660550459,4.11,4.66,9,11,-0.090180061,-0.088736756,0.204447282,-0.555584695,-0.445141655,1,1,4
8/3/12,lc,ln,3,4,3,0.339449541,4.11,3.42,9,9,-1.049941765,-0.088736756,-1.206114304,-0.555584695,-0.605612474,1,1,6
8/3/12,ln,lc,3,3.5,3,1,3.42,4.11,9,9,0.924425166,-0.991700476,-0.421205034,-0.555584695,-0.605612474,1,1,6
8/7/12,lc,ky,3,1,2,0.478066249,4.11,4.66,9,11,-0.635620284,-0.088736756,0.204447282,-0.555584695,-0.445141655,1,0,4
8/7/12,lc,ln,3,3.5,2,0.517457475,4.11,3.42,9,9,-0.517881006,-0.088736756,-1.206114304,-0.555584695,-0.605612474,1,1,6
8/7/12,ln,lc,3,3.5,2,0.531752752,3.42,4.11,9,9,-0.475152821,-0.991700476,-0.421205034,-0.555584695,-0.605612474,1,1,6
10/10/09,h,li,2,4.5,0,1,3.42,5.23,31,12,0.924425166,-0.991700476,0.852850592,1.401145612,-0.364906246,0,0,2
10/10/09,li,h,2,1.5,0,1,5.23,6.2,12,24,0.924425166,1.376943485,1.956273768,-0.288757835,0.597918668,0,0,2
7/13/12,ky,lc,3,1.5,1,1,4.66,4.11,11,9,0.924425166,0.631016934,-0.421205034,-0.377700121,-0.605612474,0,0,4
7/13/12,lc,ky,3,0.5,1,1,4.11,4.66,9,11,0.924425166,-0.088736756,0.204447282,-0.555584695,-0.445141655,0,0,4
7/13/12,ln,lc,3,3,1,1,3.42,4.11,9,9,0.924425166,-0.991700476,-0.421205034,-0.555584695,-0.605612474,1,0,6
10/15/09,h,j,2,1.5,2,1,3.42,6.2,31,24,0.924425166,-0.991700476,1.956273768,1.401145612,0.597918668,0,1,1
10/15/09,j,h,2,0.5,2,0.74267101,6.2,3.42,24,31,0.155275979,2.646327266,-1.206114304,0.778549605,1.159566534,1,0,1
7/16/12,dn,lc,3,3,1,1,5.57,4.11,44,9,0.924425166,1.82188213,-0.421205034,2.557395339,-0.605612474,0,0,3
