Date,actor,receiver,group,tr.prop.gr,n.swollen,sw.act,sw.rec,rank.act,rank.rec,age.act,age.rec,z.rank.act,z.rank.rec,z.age.act,z.age.rec,dyad
8/20/09,j,li,2,0.994680851,2,MAX,MAX,6.2,5.23,24,12,2.521792085,0.878494452,0.820967775,-0.43495765,"j,,li"
8/22/09,li,h,2,0.020634345,2,MAX,MIN,5.23,3.42,12,31,1.292379679,-1.276140781,-0.264673081,0.985214859,"li,,h"
8/25/09,h,j,2,0.411478164,2,MIN,MAX,3.42,6.2,31,24,-1.001678522,2.033188472,1.454258274,0.461993409,"h,,j"
8/26/09,h,j,2,0.965409795,2,MIN,MAX,3.42,6.2,31,24,-1.001678522,2.033188472,1.454258274,0.461993409,"h,,j"
9/2/09,j,h,2,0.138804458,2,MAX,MIN,6.2,3.42,24,31,2.521792085,-1.276140781,0.820967775,0.985214859,"j,,h"
9/2/09,h,j,2,0.994680851,2,MIN,MAX,3.42,6.2,31,24,-1.001678522,2.033188472,1.454258274,0.461993409,"h,,j"
9/10/09,li,h,2,0.994680851,1,MAX,MIN,5.23,3.42,12,31,1.292379679,-1.276140781,-0.264673081,0.985214859,"li,,h"
9/29/09,h,j,2,0.952203784,1,MIN,MAX,3.42,6.2,31,24,-1.001678522,2.033188472,1.454258274,0.461993409,"h,,j"
10/2/09,j,h,2,0.994680851,0,MIN,MIN,6.2,3.42,24,31,2.521792085,-1.276140781,0.820967775,0.985214859,"j,,h"
10/2/09,h,j,2,0.994680851,0,MIN,MIN,3.42,6.2,31,24,-1.001678522,2.033188472,1.454258274,0.461993409,"h,,j"
10/10/09,li,h,2,0.994680851,0,MIN,MIN,5.23,3.42,12,31,1.292379679,-1.276140781,-0.264673081,0.985214859,"li,,h"
10/10/09,h,li,2,0.994680851,0,MIN,MIN,3.42,5.23,31,12,-1.001678522,0.878494452,1.454258274,-0.43495765,"h,,li"
10/15/09,j,h,2,0.740089404,2,MAX,MIN,6.2,3.42,24,31,2.521792085,-1.276140781,0.820967775,0.985214859,"j,,h"
10/15/09,h,j,2,0.994680851,2,MIN,MAX,3.42,6.2,31,24,-1.001678522,2.033188472,1.454258274,0.461993409,"h,,j"
10/26/09,h,li,2,0.994680851,0,MIN,MIN,3.42,5.23,31,12,-1.001678522,0.878494452,1.454258274,-0.43495765,"h,,li"
6/26/12,ln,dn,3,0.994680851,2,MAX,MAX,3.42,5.57,9,44,-1.001678522,1.283232562,-0.536083295,1.956911839,"ln,,dn"
6/30/12,ky,ln,3,0.994680851,3,MAX,MAX,4.66,3.42,11,9,0.569941461,-1.276140781,-0.355143152,-0.659195414,"ky,,ln"
6/30/12,ln,dn,3,0.846006278,3,MAX,MAX,3.42,5.57,9,44,-1.001678522,1.283232562,-0.536083295,1.956911839,"ln,,dn"
7/2/12,ln,ky,3,0.994680851,3,MAX,MAX,3.42,4.66,9,11,-1.001678522,0.199962915,-0.536083295,-0.509703571,"ln,,ky"
7/3/12,ln,dn,3,0.994680851,3,MAX,MAX,3.42,5.57,9,44,-1.001678522,1.283232562,-0.536083295,1.956911839,"ln,,dn"
7/4/12,ky,dn,3,0.994680851,3,MAX,MAX,4.66,5.57,11,44,0.569941461,1.283232562,-0.355143152,1.956911839,"ky,,dn"
7/6/12,ln,ky,3,0.994680851,2,MAX,MAX,3.42,4.66,9,11,-1.001678522,0.199962915,-0.536083295,-0.509703571,"ln,,ky"
7/10/12,ln,dn,3,0.994680851,1,MAX,MIN,3.42,5.57,9,44,-1.001678522,1.283232562,-0.536083295,1.956911839,"ln,,dn"
7/13/12,ln,lc,3,0.994680851,1,MAX,MIN,3.42,4.11,9,9,-1.001678522,-0.454760499,-0.536083295,-0.659195414,"ln,,lc"
7/13/12,ky,lc,3,0.994680851,1,MIN,MIN,4.66,4.11,11,9,0.569941461,-0.454760499,-0.355143152,-0.659195414,"ky,,lc"
7/13/12,lc,ky,3,0.994680851,1,MIN,MIN,4.11,4.66,9,11,-0.127148048,0.199962915,-0.536083295,-0.509703571,"lc,,ky"
7/16/12,dn,lc,3,0.994680851,1,MIN,MIN,5.57,4.11,44,9,1.723307739,-0.454760499,2.630369202,-0.659195414,"dn,,lc"
7/17/12,ky,ln,3,0.257136324,2,MIN,MAX,4.66,3.42,11,9,0.569941461,-1.276140781,-0.355143152,-0.659195414,"ky,,ln"
7/17/12,ky,lc,3,0.742863676,2,MIN,MIN,4.66,4.11,11,9,0.569941461,-0.454760499,-0.355143152,-0.659195414,"ky,,lc"
7/17/12,dn,lc,3,0.994680851,2,MAX,MIN,5.57,4.11,44,9,1.723307739,-0.454760499,2.630369202,-0.659195414,"dn,,lc"
7/17/12,ln,ky,3,0.994680851,2,MAX,MIN,3.42,4.66,9,11,-1.001678522,0.199962915,-0.536083295,-0.509703571,"ln,,ky"
7/17/12,lc,ky,3,0.255060937,2,MIN,MIN,4.11,4.66,9,11,-0.127148048,0.199962915,-0.536083295,-0.509703571,"lc,,ky"
7/17/12,lc,dn,3,0.47838773,2,MIN,MAX,4.11,5.57,9,44,-0.127148048,1.283232562,-0.536083295,1.956911839,"lc,,dn"
7/18/12,lc,ln,3,0.685060463,2,MIN,MAX,4.11,3.42,9,9,-0.127148048,-1.276140781,-0.536083295,-0.659195414,"lc,,ln"
7/18/12,ln,lc,3,0.623115638,2,MAX,MIN,3.42,4.11,9,9,-1.001678522,-0.454760499,-0.536083295,-0.659195414,"ln,,lc"
7/18/12,ky,lc,3,0.994680851,2,MIN,MIN,4.66,4.11,11,9,0.569941461,-0.454760499,-0.355143152,-0.659195414,"ky,,lc"
7/18/12,lc,ky,3,0.190379611,2,MIN,MIN,4.11,4.66,9,11,-0.127148048,0.199962915,-0.536083295,-0.509703571,"lc,,ky"
7/18/12,ln,dn,3,0.376884362,2,MAX,MAX,3.42,5.57,9,44,-1.001678522,1.283232562,-0.536083295,1.956911839,"ln,,dn"
7/18/12,lc,dn,3,0.129879076,2,MIN,MAX,4.11,5.57,9,44,-0.127148048,1.283232562,-0.536083295,1.956911839,"lc,,dn"
7/19/12,ky,lc,3,0.387426335,3,MAX,MIN,4.66,4.11,11,9,0.569941461,-0.454760499,-0.355143152,-0.659195414,"ky,,lc"
7/19/12,dn,lc,3,0.580816747,3,MAX,MIN,5.57,4.11,44,9,1.723307739,-0.454760499,2.630369202,-0.659195414,"dn,,lc"
7/19/12,lc,ky,3,0.538798498,3,MIN,MAX,4.11,4.66,9,11,-0.127148048,0.199962915,-0.536083295,-0.509703571,"lc,,ky"
7/19/12,lc,dn,3,0.34965582,3,MIN,MAX,4.11,5.57,9,44,-0.127148048,1.283232562,-0.536083295,1.956911839,"lc,,dn"
7/20/12,lc,ln,3,0.145143287,3,MIN,MAX,4.11,3.42,9,9,-0.127148048,-1.276140781,-0.536083295,-0.659195414,"lc,,ln"
7/20/12,ky,lc,3,0.994680851,3,MAX,MIN,4.66,4.11,11,9,0.569941461,-0.454760499,-0.355143152,-0.659195414,"ky,,lc"
7/20/12,lc,ky,3,0.164210215,3,MIN,MAX,4.11,4.66,9,11,-0.127148048,0.199962915,-0.536083295,-0.509703571,"lc,,ky"
