actor,receiver,weight,rank.act,rank.rec,age.act,age.rec,dyad
j,li,1,6.2,5.23,24,12,"j,,li"
li,h,3,5.23,3.42,12,31,"li,,h"
h,j,6,3.42,6.2,31,24,"h,,j"
j,h,3,6.2,3.42,24,31,"j,,h"
h,li,2,3.42,5.23,31,12,"h,,li"
ln,dn,8,3.42,5.57,9,44,"ln,,dn"
ky,ln,3,4.66,3.42,11,9,"ky,,ln"
ln,ky,6,3.42,4.66,9,11,"ln,,ky"
ky,dn,1,4.66,5.57,11,44,"ky,,dn"
ln,lc,11,3.42,4.11,9,9,"ln,,lc"
ky,lc,12,4.66,4.11,11,9,"ky,,lc"
lc,ky,12,4.11,4.66,9,11,"lc,,ky"
dn,lc,7,5.57,4.11,44,9,"dn,,lc"
lc,dn,7,4.11,5.57,9,44,"lc,,dn"
lc,ln,11,4.11,3.42,9,9,"lc,,ln"
dn,ky,1,5.57,4.66,44,11,"dn,,ky"
