Focal,Beh,Rec,Mins
Nw,mating,Dl,10
RK,In contact,Ba,1
RK,In contact,Ba,1
RK,In contact,Ba,1
RK,play,Ba,1
RK,In contact,Ba,4
RK,play,Db,1
RK,play,Db,2
RK,In contact,Db,3
RK,play,Db,9
RK,In contact,Db,20
RK,groom,Db,21
Ba,groom,Dl,1
Ba,groom,Dl,1
Ba,In contact,Dl,5
Ba,play,Dl,5
Ku,groom,Pk,4
Vi,groom,Vt,1
Vi,groom,Vt,1
Vi,groom,Vt,5
Vi,In contact,Vt,5
Vi,groom,Vt,9
Pe,In contact,Ku,10
Pe,play,Vt,1
Ba,groom,Bo,1
Ba,groom,Bo,1
Ba,groom,Bo,2
Ba,groom,Bo,4
Ba,play,Pe,1
Ba,embrace,Pe,1
Ba,groom,Pe,1
Ba,groom,Pe,1
Ba,groom,Pe,3
Ba,groom,Pe,4
Ba,groom,Pe,4
Vi,play,Vt,1
Vi,play,Vt,6
Pk,In contact,Vi,15
Pk,In contact,Vt,10
Vi,play,Db,2
Vi,In contact,Pk,11
Vi,In contact,Vt,30
RK,play,Pl,1
RK,play,Pl,4
RK,play,Wa,1
RK,In contact,Wa,10
Dl,groom,Db,1
Dl,groom,Db,5
Dl,groom,Db,9
Dl,groom,Vi,9
Dl,In contact,Vi,13
Pe,In contact,Ba,10
Pe,groom,Ba,10
Pe,groom,Pi,3
Pe,groom,Pl,1
Pe,groom,Pl,2
Pe,groom,Pl,2
Pe,groom,Pl,2
Pe,In contact,Pl,3
Pe,groom,Pl,6
Ku,groom,Pk,3
Vi,groom,Vt,2
Vi,In contact,Vt,11
Vi,In contact,Vt,15
Wa,play,Bo,2
Wa,groom,Nw,4
Wa,groom,Vi,1
Wa,In contact,Vi,1
Ba,groom,Pl,3
Ku,groom,Ki,2
Ku,In contact,Ki,10
Ku,groom,Nw,2
Ku,In contact,Nw,2
Ku,In contact,Nw,5
Vi,In contact,Vt,1
Vi,groom,Wa,1
Vi,groom,Wa,1
Vi,groom,Wa,3
Nw,In contact,Ku,1
Nw,In contact,Ku,1
Nw,groom,RK,1
Nw,In contact,RK,1
Nw,groom,RK,4
RK,In contact,Pk,1
RK,In contact,Wa,1
Ku,In contact,Ki,1
Ku,groom,Ki,3
Ku,In contact,Ki,3
Ku,In contact,Ki,4
Ku,In contact,Pe,1
Ku,groom,Pk,1
Ku,In contact,Pk,1
Ku,groom,Pk,2
Ku,groom,Pk,3
Ku,In contact,Wa,1
Ku,In contact,Wa,1
Ku,groom,Wa,1
Ku,In contact,Wa,2
Ku,In contact,Pe,15
Ku,In contact,Pk,40
Vi,In contact,Vt,1
Ba,groom,Bo,1
Ba,groom,Bo,1
Ba,groom,Bo,1
Ba,In contact,Bo,1
Ba,groom,Bo,2
Ba,In contact,Bo,3
Ba,groom,Bo,5
Ba,In contact,Bo,6
Ba,groom,Bo,6
Ba,In contact,Bo,29
RK,In contact,Wa,10
Vi,In contact,Vt,2
Ba,In contact,Bo,1
Ba,groom,Bo,1
Ba,groom,Bo,2
Ba,groom,Bo,4
Ba,In contact,Db,1
Ba,mating,Pk,10
Ba,In contact,Vi,1
Ba,groom,Vi,2
Ba,In contact,Vi,2
Dl,groom,Ba,2
Dl,In contact,Ba,3
Dl,groom,Db,1
Dl,play,Db,2
Dl,groom,Db,3
Dl,In contact,Db,4
Dl,groom,Db,5
Dl,In contact,Db,12
Dl,groom,Nw,1
Dl,In contact,Nw,2
Dl,groom,Nw,6
Dl,In contact,Nw,7
Dl,In contact,Nw,8
Dl,groom,Pk,1
Dl,In contact,Pk,1
Dl,In contact,Pk,2
Dl,groom,Pk,2
Dl,groom,Pk,2
Dl,groom,Pk,3
Dl,In contact,Pk,5
Dl,In contact,Pk,5
Dl,In contact,Pk,12
Dl,In contact,Pk,20
RK,play ,Db,1
RK,play ,Db,5
RK,groom,Nw,1
RK,In contact,Nw,15
Ku,In contact,Pk,20
Ku,In contact,Wa,35
Ku,In contact,Wa,50
Pe,groom,Ki,2
Pe,In contact,Pi,1
Pe,In contact,Pi,1
Pe,play,Pi,3
Pe,In contact,Pk,3
Pe,groom,Pl,1
Pe,groom,Pl,2
Pe,groom,Pl,7
Pe,In contact,RK,1
Pe,groom,Vi,1
Pe,groom,Vi,3
Pe,groom,Vi,6
Pe,In contact,Vi,6
Dl,In contact,Ku,11
Dl,groom,Nw,1
Dl,groom,Nw,1
Dl,In contact,Nw,1
Dl,groom,Nw,2
Dl,In contact,Nw,12
Dl,In contact,Nw,23
Dl,In contact,Nw,28
Ba,play,Bo,1
Ba,play,Bo,1
Ba,groom,Bo,2
Ba,groom,Ku,5
Ba,mating,Nw,11
Ba,mating,Nw,1
Ba,groom,Pe,1
Ba,groom,Pe,3
Ba,groom,Pe,4
Ba,groom,Pe,5
Ba,groom,Pe,5
Ba,groom,Pe,8
Ba,groom,Pl,4
Ba,groom,Vi,2
Ba,groom,Vi,2
Pk,groom,Db,5
Pk,In contact,Dl,5
Pk,In contact,Ku,5
Pk,In contact,Ku,5
Pk,In contact,Nw,5
Pk,In contact,Nw,5
Pk,In contact,Wa,15
Dl,In contact,Nw,50
Pe,In contact,Ku,5
Pe,In contact,Ku,5
Pe,In contact,Nw,2
Pe,groom,Pi,5
Pe,In contact,Pk,10
Pe,groom,Pl,2
Pe,groom,Pl,4
Pe,play/embrace,Vi,3
Pe,play/embrace,Vi,15
Nw,In contact,Ba,1
Nw,mating,Ba,1
Nw,mating,Ba,1
Nw,mating,Ba,7
Nw,mating,Ba,7
Nw,In contact,Ba,10
Nw,In contact,Ba,11
Nw,play,Bo,4
Nw,groom,Dl,1
Nw,In contact,Ku,5
Nw,In contact,Vi,12
Nw,groom,Vt,1
Wa,In contact,Nw,5
Wa,In contact,RK,5
Wa,play ,RK,5
Ku,groom,Ki,1
Ku,groom,Ki,2
Ku,groom,Ki,3
Ku,In contact,Ki,4
Ku,In contact,Nw,15
Ku,groom,Pk,1
Ku,In contact,Pk,10
Ku,In contact,Pk,11
Ku,In contact,RK,1
Ku,In contact,Vi,1
Ku,In contact,Vi,25
Vi,In contact,Dl,15
Nw,In contact,Ku,20
Pe,groom,Pi,2
Pe,mating,Pk,1
Pe,In contact,Pk,2
Pe,mating,Pk,12
Pe,groom,Pl,1
Dl,groom,Db,1
Dl,groom,Db,1
Dl,groom,Db,1
Dl,groom,Db,3
Dl,groom,Db,5
Dl,groom,Db,5
Dl,groom,Db,5
Dl,In contact,Db,5
Dl,In contact,Db,20
Dl,groom,RK,1
Dl,groom,RK,1
Dl,groom,RK,1
Dl,groom,RK,2
Dl,groom,RK,2
Dl,groom,RK,3
Dl,In contact,RK,4
Dl,groom,RK,5
Dl,groom,RK,5
Dl,groom,RK,10
Dl,In contact,RK,20
Dl,In contact,RK,25
Dl,In contact,RK,49
Ku,groom,Db,1
Ku,In contact,Dl,23
Ku,In contact,Pe,2
